Image;Experiment;date aquired;tubule number;Endosomes size;Max length;Frames;Lifetime
RPE_Cherry-WDFY2-2xFYVE_04_D3D.dv;2;03.09.2018;84;1,019;0,44;6;6
RPE_Cherry-WDFY2-2xFYVE_04_D3D.dv;2;03.09.2018;85;0,596;0,567;2;2
RPE_Cherry-WDFY2-2xFYVE_04_D3D.dv;2;03.09.2018;86;1,125;0,701;6;6
RPE_Cherry-WDFY2-2xFYVE_04_D3D.dv;2;03.09.2018;87;0,43;0,764;3;3
RPE_Cherry-WDFY2-2xFYVE_04_D3D.dv;2;03.09.2018;88;0,8;0,417;11;11
RPE_Cherry-WDFY2-2xFYVE_05_D3D.dv;2;03.09.2018;89;0,913;0,88;18;18
RPE_Cherry-WDFY2-2xFYVE_05_D3D.dv;2;03.09.2018;90;0,642;0,644;11;11
RPE_Cherry-WDFY2-2xFYVE_05_D3D.dv;2;03.09.2018;91;0,459;0,712;15;15
RPE_Cherry-WDFY2-2xFYVE_05_D3D.dv;2;03.09.2018;92;1,114;0,373;7;7
RPE_Cherry-WDFY2-2xFYVE_05_D3D.dv;2;03.09.2018;93;0,477;1,956;13;13
RPE_Cherry-WDFY2-2xFYVE_05_D3D.dv;2;03.09.2018;94;0,453;0,741;8;8
RPE_Cherry-WDFY2-2xFYVE_05_D3D.dv;2;03.09.2018;95;1,11;1,121;11;11
RPE_Cherry-WDFY2-2xFYVE_05_D3D.dv;2;03.09.2018;96;0,533;0,577;8;8
RPE_Cherry-WDFY2-2xFYVE_05_D3D.dv;2;03.09.2018;97;0,642;0,608;10;10
RPE_Cherry-WDFY2-2xFYVE_05_D3D.dv;2;03.09.2018;98;0,608;1,184;9;9
RPE_Cherry-WDFY2-2xFYVE_05_D3D.dv;2;03.09.2018;99;0,608;0,95;10;10
RPE_Cherry-WDFY2-2xFYVE_05_D3D.dv;2;03.09.2018;100;1,178;3,52;20;20
RPE_Cherry-WDFY2-2xFYVE_05_D3D.dv;2;03.09.2018;101;0,533;0,544;13;13
RPE_Cherry-WDFY2-2xFYVE_05_D3D.dv;2;03.09.2018;102;0,608;1,178;13;13
RPE_Cherry-WDFY2-2xFYVE_05_D3D.dv;2;03.09.2018;103;0,557;1,13;8;8
RPE_Cherry-WDFY2-2xFYVE_05_D3D.dv;2;03.09.2018;104;0,764;0,95;7;7
RPE_Cherry-WDFY2-2xFYVE_01_D3D.dv;3;05.09.2018;105;0,48;0,373;13;13
RPE_Cherry-WDFY2-2xFYVE_01_D3D.dv;3;05.09.2018;106;0,701;0,743;11;11
RPE_Cherry-WDFY2-2xFYVE_01_D3D.dv;3;05.09.2018;107;0,596;0,492;12;12
RPE_Cherry-WDFY2-2xFYVE_01_D3D.dv;3;05.09.2018;108;0,533;0,492;11;11
RPE_Cherry-WDFY2-2xFYVE_01_D3D.dv;3;05.09.2018;109;0,577;0,725;17;17
RPE_Cherry-WDFY2-2xFYVE_01_D3D.dv;3;05.09.2018;110;0,477;0,741;24;24
RPE_Cherry-WDFY2-2xFYVE_01_D3D.dv;3;05.09.2018;111;0,32;0,358;3;3
RPE_Cherry-WDFY2-2xFYVE_01_D3D.dv;3;05.09.2018;112;0,587;0,8;16;16
RPE_Cherry-WDFY2-2xFYVE_01_D3D.dv;3;05.09.2018;113;0,43;0,828;20;20
